,sepal length,sepal width,petal length,petal width,iris,,,sepal length,,a
0.934660714,6.8,3.2,5.9,2.3,Iris-virginica,,,Count,150,
0.22254326,7.2,3.6,6.1,2.5,Iris-virginica,,,Minimum,4.3,
0.199154036,6.2,2.2,4.5,1.5,Iris-versicolor,,,Maximum,7.9,
0.566674275,4.4,2.9,1.4,0.2,Iris-setosa,,,Mean,5.84,
0.771584745,6.3,2.8,5.1,1.5,Iris-virginica,,,Median,5.8,
0.591609594,5.8,2.7,5.1,1.9,Iris-virginica,,,Mode,5,
0.617227866,5.7,2.8,4.1,1.3,Iris-versicolor,,,Quartile 1,5.1,
0.555993178,6,3,4.8,1.8,Iris-virginica,,,Range,3.6,
0.962446698,4.7,3.2,1.3,0.2,Iris-setosa,,,Variance,0.69,
0.978968695,6.9,3.1,5.4,2.1,Iris-virginica,,,Standard Deviation,0.83,
0.193408824,5.7,2.9,4.2,1.3,Iris-versicolor,,,Coefficient of Variation,14.20%,
0.209707148,5.9,3.2,4.8,1.8,Iris-versicolor,,,Skewness,0.31,
0.383384614,6.9,3.1,4.9,1.5,Iris-versicolor,,,Kurtosis,-0.55,
0.661226077,6.7,3,5.2,2.3,Iris-virginica,,,,,
0.49638141,5.4,3.9,1.7,0.4,Iris-setosa,,,,,
0.768977235,5,3,1.6,0.2,Iris-setosa,,,,,
0.535653637,4.8,3,1.4,0.3,Iris-setosa,,,,,
0.005855332,5.5,3.5,1.3,0.2,Iris-setosa,,,,,
0.620984873,5.8,4,1.2,0.2,Iris-setosa,,,,,
0.094032293,5.1,3.5,1.4,0.2,Iris-setosa,,,,,
0.664202367,4.6,3.1,1.5,0.2,Iris-setosa,,,,,
0.882610294,5.2,4.1,1.5,0.1,Iris-setosa,,,,,
0.254017381,5,2,3.5,1,Iris-versicolor,,,,,
0.226344901,4.9,2.4,3.3,1,Iris-versicolor,,,,,
0.159950089,5.8,2.7,4.1,1,Iris-versicolor,,,,,
0.805934186,6.9,3.1,5.1,2.3,Iris-virginica,,,,,
0.836085135,6.4,2.9,4.3,1.3,Iris-versicolor,,,,,
0.357046577,5.8,2.8,5.1,2.4,Iris-virginica,,,,,
0.962782506,5.6,2.5,3.9,1.1,Iris-versicolor,,,,,
0.598055018,6.5,2.8,4.6,1.5,Iris-versicolor,,,,,
0.444072032,6.2,2.8,4.8,1.8,Iris-virginica,,,,,
0.122275491,4.6,3.6,1,0.2,Iris-setosa,,,,,
0.709358155,4.9,3.1,1.5,0.1,Iris-setosa,,,,,
0.382590915,5.7,3.8,1.7,0.3,Iris-setosa,,,,,
0.235262549,6.7,2.5,5.8,1.8,Iris-virginica,,,,,
0.574079136,5.4,3.7,1.5,0.2,Iris-setosa,,,,,
0.343631687,6,2.2,5,1.5,Iris-virginica,,,,,
0.455877721,6.3,2.3,4.4,1.3,Iris-versicolor,,,,,
0.298036443,6.4,2.8,5.6,2.2,Iris-virginica,,,,,
0.648822762,6,3.4,4.5,1.6,Iris-versicolor,,,,,
0.101462737,5.8,2.6,4,1.2,Iris-versicolor,,,,,
0.981573825,5,2.3,3.3,1,Iris-versicolor,,,,,
0.794587363,7,3.2,4.7,1.4,Iris-versicolor,,,,,
0.559454618,4.4,3.2,1.3,0.2,Iris-setosa,,,,,
0.328315529,6.8,3,5.5,2.1,Iris-virginica,,,,,
0.945599064,6,2.7,5.1,1.6,Iris-versicolor,,,,,
0.49128761,5.1,3.7,1.5,0.4,Iris-setosa,,,,,
0.588442585,5,3.2,1.2,0.2,Iris-setosa,,,,,
0.137044199,6.5,3,5.5,1.8,Iris-virginica,,,,,
0.711742668,6.4,2.8,5.6,2.1,Iris-virginica,,,,,
0.022695755,5.5,2.4,3.7,1,Iris-versicolor,,,,,
0.076370925,5.7,2.8,4.5,1.3,Iris-versicolor,,,,,
